Time[s],Ecc[deg],Inc[deg],SMA[km],AOP[deg],RAAN[deg],MA[deg],Lat[deg],Lon[deg],Alt[km],x[km],y[km],z[km],vx[km/s],vy[km/s],vz[km/s]
5399,1.35788e-16,98.7089,7203.14,0,0.0616005,319.154,-40.4455,105.911,833.963,5448.17,719.185,-4656.76,4.86618,-0.846821,5.56239
5459,1.28403e-16,98.7089,7203.14,0,0.062285,322.7,-36.9619,104.782,832.697,5729.18,667.158,-4314.7,4.50886,-0.891085,5.8492
5519,9.59147e-16,98.7089,7203.14,0,0.0629694,326.246,-33.47,103.73,831.473,5988.25,612.583,-3956.12,4.13428,-0.931945,6.11361
5579,9.50514e-16,98.7089,7203.14,0,0.0636539,329.792,-29.9711,102.74,830.31,6224.38,555.668,-3582.39,3.74386,-0.969246,6.35461
5639,2.56805e-16,98.7089,7203.14,0,0.0643383,333.338,-26.466,101.8,829.225,6436.69,496.631,-3194.93,3.33911,-1.00284,6.57128
5699,8.8262e-16,98.7089,7203.14,0,0.0650228,336.884,-22.9559,100.9,828.236,6624.35,435.696,-2795.25,2.92158,-1.03261,6.76278
5759,9.50514e-16,98.7089,7203.14,0,0.0657072,340.431,-19.4413,100.033,827.357,6786.64,373.098,-2384.86,2.49285,-1.05844,6.92838
5819,8.86676e-16,98.7089,7203.14,0,0.0663917,343.977,-15.9232,99.1923,826.602,6922.94,309.074,-1965.33,2.05458,-1.08022,7.06745
5879,8.58332e-16,98.7089,7203.14,0,0.0670761,347.523,-12.4022,98.3714,825.983,7032.74,243.869,-1538.29,1.60845,-1.09787,7.17946
5939,1.28403e-16,98.7089,7203.14,0,0.0677606,351.069,-8.87889,97.5655,825.509,7115.61,177.733,-1105.35,1.15615,-1.11133,7.26397
5999,1.69735e-17,98.7089,7203.14,0,0.068445,354.615,-5.35403,96.7701,825.188,7171.23,110.918,-668.172,0.699428,-1.12055,7.32067
6059,8.91107e-16,98.7089,7203.14,0,0.0691295,358.161,-1.82822,95.9809,825.025,7199.38,43.6791,-228.441,0.240027,-1.12549,7.34933
6119,4.24336e-18,98.7089,7203.14,0,0.0698139,1.70756,1.69793,95.1938,825.022,7199.98,-23.7266,212.165,-0.220293,-1.12613,7.34985
6179,1.32814e-16,98.7089,7203.14,0,0.0704984,5.25371,5.22377,94.4048,825.18,7173,-91.0419,651.959,-0.67977,-1.12246,7.32223
6239,1.32814e-16,98.7089,7203.14,0,0.0711828,8.79987,8.74867,93.6097,825.495,7118.55,-158.009,1089.26,-1.13664,-1.11451,7.26656
6299,1.45247e-16,98.7089,7203.14,0,0.0718673,12.346,12.272,92.8043,825.963,7036.85,-224.374,1522.38,-1.58916,-1.1023,7.18307
6359,1.63887e-16,98.7089,7203.14,0,0.0725517,15.8922,15.7931,91.984,826.577,6928.2,-289.881,1949.68,-2.0356,-1.08588,7.07207
6419,0,98.7089,7203.14,0,0.0732362,19.4383,19.3114,91.1437,827.327,6793.02,-354.281,2369.51,-2.47424,-1.06532,6.93399
6479,3.73768e-16,98.7089,7203.14,0,0.0739206,22.9845,22.8261,90.2778,828.201,6631.83,-417.328,2780.26,-2.90341,-1.04068,6.76936
6539,1.45247e-16,98.7089,7203.14,0,0.0746051,26.5306,26.3364,89.3795,829.187,6445.25,-478.78,3180.37,-3.32146,-1.01207,6.5788
6599,1.28403e-16,98.7089,7203.14,0,0.0752895,30.0768,29.8416,88.441,830.268,6233.98,-538.405,3568.31,-3.72679,-0.979596,6.36306
6659,2.40777e-16,98.7089,7203.14,0,0.075974,33.6229,33.3409,87.4529,831.429,5998.85,-595.972,3942.57,-4.11785,-0.943378,6.12294
6719,2.65629e-16,98.7089,7203.14,0,0.0766584,37.1691,36.833,86.4035,832.651,5740.74,-651.264,4301.74,-4.49314,-0.903557,5.85938
6779,6.78938e-17,98.7089,7203.14,0,0.0773429,40.7152,40.3169,85.2782,833.916,5460.65,-704.068,4644.43,-4.85123,-0.860284,5.57338
6839,0,98.7089,7203.14,0,0.0780273,44.2614,43.791,84.0584,835.204,5159.66,-754.183,4969.34,-5.19074,-0.813725,5.26603
6899,1.86884e-16,98.7089,7203.14,0,0.0787118,47.8075,47.2534,82.7198,836.495,4838.9,-801.417,5275.23,-5.51038,-0.764058,4.93852
6959,2.90495e-16,98.7089,7203.14,0,0.0793962,51.3537,50.7016,81.2299,837.77,4499.62,-845.59,5560.9,-5.80891,-0.711473,4.5921
7019,2.65629e-16,98.7089,7203.14,0,0.0800807,54.8998,54.1322,79.5445,839.01,4143.1,-886.533,5825.29,-6.0852,-0.656169,4.2281
7079,1.45247e-16,98.7089,7203.14,0,0.0807651,58.446,57.5403,77.6016,840.195,3770.72,-924.09,6067.37,-6.33819,-0.59836,3.8479
7139,6.78938e-17,98.7089,7203.14,0,0.0814496,61.9922,60.919,75.3121,841.306,3383.91,-958.117,6286.21,-6.56691,-0.538265,3.45297
7199,6.56216e-16,98.7089,7203.14,0,0.0821341,65.5383,64.2576,72.543,842.329,2984.13,-988.485,6480.98,-6.77048,-0.476113,3.04481
7259,2.90495e-16,98.7089,7203.14,0,0.0828185,69.0845,67.5393,69.0893,843.246,2572.93,-1015.08,6650.93,-6.94813,-0.412143,2.625
7319,5.2361e-16,98.7089,7203.14,0,0.083503,72.6306,70.736,64.6222,844.044,2151.87,-1037.79,6795.41,-7.09918,-0.346599,2.19513
7379,1.63887e-16,98.7089,7203.14,0,0.0841874,76.1768,73.7987,58.5954,844.711,1722.58,-1056.54,6913.87,-7.22303,-0.279731,1.75686
7439,1.28403e-16,98.7089,7203.14,0,0.0848719,79.7229,76.6361,50.0879,845.237,1286.69,-1071.26,7005.86,-7.31924,-0.211794,1.31186
7499,1.69735e-17,98.7089,7203.14,0,0.0855563,83.2691,79.0725,37.6371,845.614,845.874,-1081.88,7071.02,-7.38741,-0.143048,0.861836
7559,6.42014e-16,98.7089,7203.14,0,0.0862408,86.8152,80.7851,19.6299,845.835,401.818,-1088.37,7109.09,-7.4273,-0.0737557,0.408512
7619,1.28407e-16,98.7089,7203.14,0,0.0869252,90.3614,81.3344,356.817,845.899,-43.7764,-1090.71,7119.95,-7.43874,-0.00418147,-0.046377
7679,2.29142e-16,98.7089,7203.14,0,0.0876097,93.9075,80.5162,334.672,845.803,-489.203,-1088.88,7103.54,-7.4217,0.0654088,-0.501088
7739,1.32814e-16,98.7089,7203.14,0,0.0882941,97.4537,78.6215,317.874,845.549,-932.757,-1082.88,7059.93,-7.37625,0.134749,-0.953881
7799,8.48673e-16,98.7089,7203.14,0,0.0889786,101,76.0829,306.37,845.142,-1372.74,-1072.76,6989.28,-7.30254,0.203575,-1.40302
7859,1.05066e-15,98.7089,7203.14,0,0.089663,104.546,73.1889,298.468,844.586,-1807.46,-1058.53,6891.87,-7.20088,0.271624,-1.84679
7919,9.19221e-16,98.7089,7203.14,0,0.0903475,108.092,70.0933,292.819,843.892,-2235.27,-1040.26,6768.06,-7.07164,0.338635,-2.28348
7979,8.91911e-16,98.7089,7203.14,0,0.0910319,111.638,66.8762,288.594,843.068,-2654.51,-1018.02,6618.34,-6.91532,0.404353,-2.71143
8039,6.78938e-17,98.7089,7203.14,0,0.0917164,115.184,63.5811,285.301,842.129,-3063.59,-991.891,6443.27,-6.73252,0.468526,-3.129
8099,8.8262e-16,98.7089,7203.14,0,0.0924008,118.731,60.2332,282.643,841.087,-3460.94,-961.972,6243.53,-6.52395,0.53091,-3.53458
8159,8.8262e-16,98.7089,7203.14,0,0.0930853,122.277,56.8478,280.434,839.958,-3845.04,-928.379,6019.88,-6.29039,0.591266,-3.92663
8219,6.78938e-17,98.7089,7203.14,0,0.0937697,125.823,53.4346,278.549,838.761,-4214.41,-891.239,5773.18,-6.03274,0.649364,-4.30365
8279,1.35788e-16,98.7089,7203.14,0,0.0944542,129.369,50.0001,276.908,837.513,-4567.65,-850.696,5504.37,-5.752,0.704981,-4.66418
8339,3.85208e-16,98.7089,7203.14,0,0.0951386,132.915,46.5488,275.452,836.233,-4903.39,-806.902,5214.49,-5.44923,0.757906,-5.00685
8399,3.62942e-16,98.7089,7203.14,0,0.0958231,136.461,43.0838,274.14,834.941,-5220.36,-760.027,4904.63,-5.12559,0.807936,-5.33035
8459,1.05029e-15,98.7089,7203.14,0,0.0965075,140.008,39.6076,272.941,833.656,-5517.34,-710.248,4575.99,-4.78232,0.85488,-5.63344
8519,7.5779e-16,98.7089,7203.14,0,0.097192,143.554,36.1219,271.833,832.398,-5793.2,-657.757,4229.83,-4.42075,0.898559,-5.91495
8579,2.65629e-16,98.7089,7203.14,0,0.0978764,147.1,32.6282,270.797,831.187,-6046.87,-602.753,3867.47,-4.04224,0.938806,-6.17381
8639,2.90495e-16,98.7089,7203.14,0,0.0985609,150.646,29.1277,269.82,830.041,-6277.38,-545.446,3490.3,-3.64826,0.975467,-6.40903
8699,2.65629e-16,98.7089,7203.14,0,0.0992453,154.192,25.6213,268.89,828.978,-6483.86,-486.057,3099.77,-3.24031,1.0084,-6.61971
8759,6.78938e-17,98.7089,7203.14,0,0.0999298,157.738,22.1101,267.999,828.013,-6665.51,-424.81,2697.36,-2.81995,1.03748,-6.80504
8819,2.56805e-16,98.7089,7203.14,0,0.100614,161.284,18.5946,267.139,827.163,-6821.64,-361.941,2284.63,-2.38879,1.06261,-6.96431
8879,1.32814e-16,98.7089,7203.14,0,0.101299,164.831,15.0757,266.303,826.44,-6951.64,-297.689,1863.14,-1.94848,1.08367,-7.09691
8939,5.40202e-16,98.7089,7203.14,0,0.101983,168.377,11.5541,265.486,825.855,-7055.03,-232.3,1434.53,-1.50072,1.10059,-7.20233
8999,8.58332e-16,98.7089,7203.14,0,0.102668,171.923,8.03036,264.683,825.418,-7131.4,-166.023,1000.41,-1.0472,1.11331,-7.28017
9059,2.59039e-16,98.7089,7203.14,0,0.103352,175.469,4.50521,263.89,825.135,-7180.46,-99.1124,562.472,-0.589681,1.12177,-7.33014
9119,2.12168e-18,98.7089,7203.14,0,0.104036,179.015,0.97926,263.102,825.01,-7202.03,-31.8229,122.376,-0.1299,1.12596,-7.35203
9179,5.17944e-16,98.7089,7203.14,0,0.104721,182.561,-2.54687,262.314,825.046,-7196.02,35.5882,-318.189,0.330379,1.12584,-7.34577
9239,4.58283e-16,98.7089,7203.14,0,0.105405,186.107,-6.07254,261.524,825.241,-7162.46,102.864,-757.536,0.789392,1.12142,-7.31138
9299,0,98.7089,7203.14,0,0.10609,189.654,-9.59713,260.727,825.594,-7101.47,169.746,-1193.98,1.24538,1.11271,-7.24899
9359,3.73416e-16,98.7089,7203.14,0,0.106774,193.2,-13.12,259.919,826.098,-7013.28,235.98,-1625.85,1.6966,1.09976,-7.15885
9419,6.11045e-16,98.7089,7203.14,0,0.107459,196.746,-16.6405,259.094,826.745,-6898.24,301.314,-2051.5,2.14133,1.08261,-7.04129
9479,5.43151e-16,98.7089,7203.14,0,0.108143,200.292,-20.1579,258.248,827.526,-6756.79,365.496,-2469.29,2.57785,1.06132,-6.89676
9539,4.75257e-16,98.7089,7203.14,0,0.108828,203.838,-23.6716,257.375,828.429,-6589.47,428.282,-2877.63,3.00451,1.03598,-6.72582
9599,5.43151e-16,98.7089,7203.14,0,0.109512,207.384,-27.1808,256.468,829.439,-6396.91,489.433,-3274.94,3.41966,1.00668,-6.52913
9659,3.62942e-16,98.7089,7203.14,0,0.110197,210.931,-30.6847,255.518,830.541,-6179.85,548.714,-3659.72,3.82171,0.973531,-6.30744
9719,8.91911e-16,98.7089,7203.14,0,0.110881,214.477,-34.1823,254.517,831.718,-5939.14,605.9,-4030.48,4.20914,0.936667,-6.06159
9779,6.62816e-16,98.7089,7203.14,0,0.111565,218.023,-37.6726,253.45,832.953,-5675.68,660.771,-4385.8,4.58044,0.896225,-5.79253
9839,1.01841e-15,98.7089,7203.14,0,0.11225,221.569,-41.1543,252.304,834.225,-5390.49,713.118,-4724.33,4.9342,0.85236,-5.50129
9899,4.92297e-16,98.7089,7203.14,0,0.112934,225.115,-44.6258,251.058,835.515,-5084.65,762.742,-5044.77,5.26907,0.805239,-5.18898
9959,4.07363e-16,98.7089,7203.14,0,0.113619,228.661,-48.085,249.687,836.805,-4759.35,809.452,-5345.89,5.58377,0.755043,-4.8568
10019,8.24782e-16,98.7089,7203.14,0,0.114303,232.207,-51.5293,248.154,838.073,-4415.82,853.071,-5626.54,5.87708,0.701962,-4.50602
10079,8.8262e-16,98.7089,7203.14,0,0.114988,235.754,-54.955,246.413,839.301,-4055.39,893.431,-5885.65,6.14789,0.6462,-4.13799
10139,9.50514e-16,98.7089,7203.14,0,0.115672,239.3,-58.3568,244.396,840.47,-3679.42,930.379,-6122.21,6.39516,0.587969,-3.75411
10199,8.40324e-16,98.7089,7203.14,0,0.116357,242.846,-61.727,242.006,841.561,-3289.37,963.773,-6335.33,6.61793,0.527493,-3.35585
10259,7.89751e-16,98.7089,7203.14,0,0.117041,246.392,-65.0537,239.094,842.56,-2886.72,993.486,-6524.19,6.81537,0.465002,-2.94474
10319,7.46832e-16,98.7089,7203.14,0,0.117725,249.938,-68.3181,235.433,843.45,-2473.01,1019.4,-6688.07,6.98671,0.400734,-2.52236
10379,8.48673e-16,98.7089,7203.14,0,0.11841,253.484,-71.4882,230.651,844.217,-2049.84,1041.43,-6826.33,7.1313,0.334935,-2.09032
